Year,State,SA3 code,SA3 name,SA3 group,Service,Per cent of people who had the service (%),Services per 100 people,Medicare benefits per 100 people ($)
2017-18,Vic,20603,Essendon,Major cities - medium SES,GP subtotal - PIP,1.05,1.08,$58 
2017-18,Vic,20603,Essendon,Major cities - medium SES,GP attendances (total),77.13,389.84,"$17,623 "
2017-18,Vic,20603,Essendon,Major cities - medium SES,GP attendances (total),76.51,448.9,"$21,528 "
2017-18,Vic,20603,Essendon,Major cities - medium SES,GP attendances (total),92.7,620.34,"$30,629 "
2017-18,Vic,20603,Essendon,Major cities - medium SES,GP attendances (total),99.63,"1,208.47","$68,368 "
2017-18,Vic,20603,Essendon,Major cities - medium SES,GP attendances (total),83.43,566.18,"$28,330 "
2017-18,Vic,20603,Essendon,Major cities - medium SES,GP attendances (total),86.17,637.85,"$32,358 "
2017-18,Vic,20603,Essendon,Major cities - medium SES,GP attendances (total),80.53,490.47,"$24,075 "
2017-18,Vic,20603,Essendon,Major cities - medium SES,Midwifery,0.04,0.2,$14 
2017-18,Vic,20603,Essendon,Major cities - medium SES,Nurse Practitioners,0.3,0.76,$32 
2017-18,Vic,20603,Essendon,Major cities - medium SES,Practice Nurse/Aboriginal Health Worker,2.93,4.46,$54 
2017-18,Vic,20603,Essendon,Major cities - medium SES,Nursing and Aboriginal Health Workers (total),0.84,1.07,$21 
2017-18,Vic,20603,Essendon,Major cities - medium SES,Nursing and Aboriginal Health Workers (total),1.5,2.72,$87 
2017-18,Vic,20603,Essendon,Major cities - medium SES,Nursing and Aboriginal Health Workers (total),3.51,5,$75 
2017-18,Vic,20603,Essendon,Major cities - medium SES,Nursing and Aboriginal Health Workers (total),13.36,24.18,$367 
2017-18,Vic,20603,Essendon,Major cities - medium SES,Nursing and Aboriginal Health Workers (total),3.25,5.42,$99 
2017-18,Vic,20603,Essendon,Major cities - medium SES,Nursing and Aboriginal Health Workers (total),3.69,6.38,$121 
2017-18,Vic,20603,Essendon,Major cities - medium SES,Nursing and Aboriginal Health Workers (total),2.78,4.41,$76 
2017-18,Vic,20603,Essendon,Major cities - medium SES,Early Intervention Services for Children,0.05,0.05,$12 
2017-18,Vic,20603,Essendon,Major cities - medium SES,Psychiatry,1.89,12.18,"$2,027 "
2017-18,Vic,20603,Essendon,Major cities - medium SES,Specialist attendances (total),20.17,46.84,"$4,839 "
2017-18,Vic,20603,Essendon,Major cities - medium SES,Specialist attendances (total),21.99,63.92,"$6,274 "
2017-18,Vic,20603,Essendon,Major cities - medium SES,Specialist attendances (total),43.07,138.23,"$11,357 "
2017-18,Vic,20603,Essendon,Major cities - medium SES,Specialist attendances (total),65.79,273.36,"$20,630 "
2017-18,Vic,20603,Essendon,Major cities - medium SES,Specialist attendances (total),31.9,102.51,"$8,838 "
2017-18,Vic,20603,Essendon,Major cities - medium SES,Specialist attendances (total),34.69,113.75,"$9,841 "
2017-18,Vic,20603,Essendon,Major cities - medium SES,Specialist attendances (total),28.96,90.63,"$7,779 "
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Allied Health subtotal - Mental Health Care,4.1,20.59,"$2,168 "
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Clinical Psychologist,1.83,9.15,1162
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Other Allied Mental Health,0.29,1.44,$121 
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Other Psychologist,2.2,10,$884 
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Allied Health subtotal - Optometry,18.21,23.86,"$1,115 "
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Allied Health subtotal - Other,3.54,11.33,$609 
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Audiology,0.04,0.09,$3 
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Diabetes Education,0.11,0.19,$10 
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Dietetics,0.44,0.76,$41 
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Occupational Therapy,0.05,0.13,$10 
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Other Allied Health,0.01,0.01,$1 
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Podiatry,3,9.94,$527 
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Speech Pathology,0.06,0.21,$16 
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Allied Health subtotal - Physical Health Care,1.8,5.87,$314 
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Chiropractic Services,0.2,0.7,$37 
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Exercise Physiology,0.17,0.42,$21 
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Osteopathy,0.2,0.63,$34 
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Physiotherapy,1.33,4.12,$222 
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Allied Health attendances (total),7.86,19.81,"$1,541 "
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Allied Health attendances (total),20.42,53.04,"$4,079 "
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Allied Health attendances (total),51.17,130.81,"$8,198 "
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Allied Health attendances (total),74.67,215.74,"$11,950 "
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Allied Health attendances (total),23.38,61.66,"$4,206 "
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Allied Health attendances (total),25.43,69.22,"$4,802 "
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Allied Health attendances (total),21.25,53.8,"$3,587 "
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Diagnostic Imaging (total),7.25,12.5,"$1,237 "
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Diagnostic Imaging (total),18.83,38.62,"$4,531 "
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Diagnostic Imaging (total),46.34,118.08,"$16,560 "
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Diagnostic Imaging (total),63.47,189.22,"$29,794 "
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Diagnostic Imaging (total),21.1,49.24,"$6,538 "
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Diagnostic Imaging (total),23.58,58.6,"$7,067 "
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Diagnostic Imaging (total),18.53,39.53,"$5,989 "
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,GP After-hours (non-urgent),12.97,34.21,"$2,111 "
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,GP After-hours (urgent),4.09,7.65,$986 
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,GP subtotal - After-hours,14.84,41.86,"$3,098 "
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,GP Chronic Disease Management Plan,7.66,17.89,"$1,877 "
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,GP Health Assessment,2.78,2.85,$591 
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,GP Mental Health,6.5,11.8,$956 
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,GP Multidisciplinary Case Conference,0.39,0.83,$91 
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,GP subtotal - Enhanced Primary Care,14.02,34.44,"$3,641 "
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Medication Management Review (domiciliary),0.25,0.25,$38 
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Medication Management Review (residential),0.82,0.83,$87 
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,GP Acupuncture,0.15,1.08,$55 
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,GP Long (Level C),23.24,51.21,"$3,783 "
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,GP Focussed Psychological Strategies and Family Group Therapy,0.09,0.35,$47 
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,GP Pregnancy Support Counselling,0.07,0.1,$8 
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,GP Prolonged - Imminent danger of death,0.03,0.03,$9 
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,GP Prolonged (Level D),3.81,6.36,$694 
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,GP Short (Level A),4.22,7.9,$159 
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,GP Standard (Level B),50.49,240.43,"$9,411 "
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,GP subtotal - Other,53.96,317.9,"$14,474 "
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,GP Telehealth (patient-end),0.02,0.02,$2 
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Other Non-referred Medical Practitioner,4.81,10.42,$306 
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Asthma Cycle of Care PIP,0.09,0.09,$5 
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Cervical Smear PIP,0.22,0.22,$14 
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Diabetes Mellitus Annual Cycle of Care PIP,0.39,0.39,$23 
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,GP subtotal - PIP,0.69,0.7,$43 
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,GP attendances (total),28.81,139.41,"$6,788 "
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,GP attendances (total),54.53,297.86,"$15,138 "
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,GP attendances (total),99.03,796.04,"$43,201 "
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,GP attendances (total),100,"1,680.48","$99,819 "
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,GP attendances (total),55.48,394.9,"$21,255 "
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,GP attendances (total),56.3,418.66,"$22,683 "
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,GP attendances (total),54.63,370.24,"$19,772 "
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Midwifery,0.02,0.14,$10 
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Nurse Practitioners,0.42,1.15,$41 
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Practice Nurse/Aboriginal Health Worker,2,3.42,$42 
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Nursing and Aboriginal Health Workers (total),0.45,0.64,$11 
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Nursing and Aboriginal Health Workers (total),1.34,2.34,$59 
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Nursing and Aboriginal Health Workers (total),6.33,11.85,$187 
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Nursing and Aboriginal Health Workers (total),13.07,29.36,$578 
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Nursing and Aboriginal Health Workers (total),2.43,4.71,$92 
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Nursing and Aboriginal Health Workers (total),2.44,4.8,$102 
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Nursing and Aboriginal Health Workers (total),2.42,4.62,$82 
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Early Intervention Services for Children,0.02,0.02,$5 
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Psychiatry,1.94,12.13,"$2,048 "
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Specialist attendances (total),6.84,16.27,"$1,808 "
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Specialist attendances (total),14.23,42.33,"$4,478 "
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Specialist attendances (total),43.1,146.46,"$13,958 "
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Specialist attendances (total),69.08,287.75,"$24,536 "
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Specialist attendances (total),18.86,62.33,"$6,042 "
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Specialist attendances (total),19.73,65.86,"$6,420 "
2017-18,Vic,20604,Melbourne City,Major cities - higher SES,Specialist attendances (total),17.95,58.67,"$5,650 "
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,Allied Health subtotal - Mental Health Care,7.41,37.58,"$4,039 "
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,Clinical Psychologist,3.29,15.99,2056
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,Other Allied Mental Health,0.47,2.59,$224 
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,Other Psychologist,4.09,19,"$1,758 "
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,Allied Health subtotal - Optometry,24.6,32.27,"$1,501 "
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,Allied Health subtotal - Other,3.39,9.82,$544 
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,Audiology,NP,NP,NP
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,Diabetes Education,0.14,0.19,$10 
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,Dietetics,0.64,1.09,$60 
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,Occupational Therapy,0.08,0.3,$22 
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,Other Allied Health,NP,NP,NP
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,Podiatry,2.54,7.66,$409 
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,Speech Pathology,0.1,0.43,$34 
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,Allied Health subtotal - Physical Health Care,3.54,12.27,$660 
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,Chiropractic Services,0.39,1.43,$76 
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,Exercise Physiology,0.35,1.03,$51 
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,Osteopathy,0.4,1.28,$69 
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,Physiotherapy,2.6,8.53,$464 
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,Allied Health attendances (total),20.73,62.81,"$5,379 "
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,Allied Health attendances (total),24.71,72.34,"$5,936 "
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,Allied Health attendances (total),45.32,114.46,"$7,951 "
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,Allied Health attendances (total),59.04,172.94,"$9,828 "
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,Allied Health attendances (total),32.7,91.94,"$6,744 "
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,Allied Health attendances (total),37.21,108.98,"$8,067 "
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,Allied Health attendances (total),28.02,74.28,"$5,374 "
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,Diagnostic Imaging (total),21.39,37.08,"$3,452 "
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,Diagnostic Imaging (total),26.4,58.23,"$6,809 "
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,Diagnostic Imaging (total),43,112,"$15,746 "
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,Diagnostic Imaging (total),59.88,190.16,"$29,751 "
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,Diagnostic Imaging (total),33.14,81.73,"$10,868 "
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,Diagnostic Imaging (total),38.02,101.34,"$12,393 "
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,Diagnostic Imaging (total),28.07,61.41,"$9,287 "
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,GP After-hours (non-urgent),19.25,39.66,"$2,276 "
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,GP After-hours (urgent),4.01,5.97,$768 
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,GP subtotal - After-hours,21.45,45.63,"$3,045 "
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,GP Chronic Disease Management Plan,10.32,24.75,"$2,664 "
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,GP Health Assessment,1.78,1.83,$374 
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,GP Mental Health,11.29,21.48,"$1,746 "
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,GP Multidisciplinary Case Conference,0.25,0.47,$46 
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,GP subtotal - Enhanced Primary Care,19.95,48.96,"$4,886 "
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,Medication Management Review (domiciliary),0.23,0.23,$36 
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,Medication Management Review (residential),0.2,0.2,$21 
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,GP Acupuncture,0.21,1.19,$70 
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,GP Long (Level C),33.49,69.67,"$5,121 "
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,GP Focussed Psychological Strategies and Family Group Therapy,0.25,0.82,$107 
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,GP Pregnancy Support Counselling,0.11,0.15,$11 
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,GP Prolonged - Imminent danger of death,NP,NP,NP
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,GP Prolonged (Level D),4.65,7.7,$848 
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,GP Short (Level A),6.66,9.52,$169 
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,GP Standard (Level B),71.09,294.66,"$11,320 "
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,GP subtotal - Other,76.25,399.16,"$18,098 "
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,GP Telehealth (patient-end),NP,NP,NP
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,Other Non-referred Medical Practitioner,8.63,15.41,$440 
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,Asthma Cycle of Care PIP,0.08,0.08,$5 
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,Cervical Smear PIP,0.22,0.21,$14 
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,Diabetes Mellitus Annual Cycle of Care PIP,0.38,0.38,$26 
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,GP subtotal - PIP,0.68,0.68,$45 
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,GP attendances (total),75.91,348.54,"$16,982 "
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,GP attendances (total),68.92,381.64,"$19,546 "
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,GP attendances (total),88.76,556.59,"$29,524 "
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,GP attendances (total),100,"1,055.91","$60,052 "
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,GP attendances (total),78.76,494.43,"$26,074 "
2017-18,Vic,20605,Port Phillip,Major cities - higher SES,GP attendances (total),82.41,558.24,"$29,850 "
